Trajectories
100
,,mechanicle_knee:thigh1,,,mechanicle_knee:thigh2,,,mechanicle_knee:thigh3,,,mechanicle_knee:thigh4,,,mechanicle_knee:thigh5,,,mechanicle_knee:shank1,,,mechanicle_knee:shank2,,,mechanicle_knee:shank3,,,mechanicle_knee:shank4,,,
Frame,Sub Frame,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
,,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
23,0,83.1551,100.118,130.4,24.9883,61.5716,129.955,98.6046,26.6173,128.884,59.6687,9.32969,129.083,11.8816,179.208,143.568,-27.8847,298.655,146.618,-83.5102,267.895,146.3,0.40078,258.412,145.893,-42.9544,210.735,145.072
24,0,83.1382,100.157,130.332,24.9985,61.5687,129.947,98.6141,26.6212,128.882,59.6778,9.34196,129.075,11.8915,179.209,143.55,-27.8599,298.648,146.613,-83.4957,267.9,146.286,0.406766,258.396,145.849,-42.9503,210.741,145.058
25,0,83.0918,100.038,130.408,24.9883,61.5683,129.945,98.5993,26.6273,128.878,59.6564,9.3482,129.068,11.8609,179.206,143.577,-27.8711,298.647,146.609,-83.5198,267.903,146.293,0.365076,258.449,145.859,-42.9635,210.745,145.055
26,0,83.1391,100.122,130.383,24.979,61.5571,129.958,98.5825,26.608,128.888,59.6503,9.33436,129.068,11.8573,179.194,143.595,-27.9077,298.639,146.644,-83.5318,267.891,146.311,0.347983,258.444,145.897,-42.9863,210.74,145.076
27,0,83.0584,99.9759,130.437,24.9633,61.5531,129.949,98.5746,26.5998,128.887,59.6346,9.31896,129.054,11.8484,179.193,143.581,-27.932,298.629,146.644,-83.5487,267.873,146.313,0.362745,258.399,145.908,-42.9978,210.722,145.071
28,0,83.1249,100.094,130.336,24.963,61.5345,129.924,98.5779,26.5804,128.856,59.6308,9.30794,129.038,11.8432,179.17,143.559,-27.9108,298.619,146.632,-83.5467,267.855,146.298,0.334343,258.397,145.87,-43.0087,210.706,145.053
29,0,83.0833,100.003,130.366,24.9645,61.5259,129.9,98.5848,26.5544,128.823,59.6482,9.28395,129.017,11.8565,179.155,143.543,-27.8963,298.594,146.625,-83.5321,267.839,146.273,0.34965,258.376,145.859,-42.9864,210.691,145.031
30,0,83.1239,100.09,130.324,24.9602,61.5183,129.903,98.5797,26.56,128.837,59.6418,9.28647,129.015,11.8506,179.161,143.521,-27.9,298.59,146.622,-83.5303,267.832,146.277,0.338532,258.368,145.838,-42.9858,210.69,145.041
31,0,83.1341,100.087,130.359,24.9589,61.5356,129.92,98.5821,26.5826,128.869,59.6398,9.3073,129.037,11.8514,179.169,143.568,-27.9127,298.618,146.65,-83.5409,267.853,146.306,0.359729,258.376,145.892,-43.0022,210.697,145.063
32,0,83.1383,100.101,130.384,24.956,61.5511,129.952,98.5764,26.6049,128.884,59.6353,9.31628,129.057,11.842,179.182,143.592,-27.9178,298.637,146.661,-83.5472,267.878,146.325,0.3263,258.402,145.87,-43.0015,210.723,145.077
